index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
131,11484.963,14.816,2.048,2,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
132,11501.827,20.992,1.088,2,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
133,11523.907,3177.865,1.312,2,moe_up,fused_moe,fused_moe_kernel,57848,128,
134,14703.084,155.905,1.248,2,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
135,14860.237,1598.693,2.08,2,moe_down,fused_moe,fused_moe_kernel,33056,128,
136,16461.01,76.576,0.352,2,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
137,16537.938,61.888,4.064,3,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
138,16603.89,522.53,1.248,3,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
139,17127.668,89.472,2.112,3,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
140,17219.252,220.256,68.065,3,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
141,17507.573,1.792,31.712,3,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
142,17541.077,57.984,1.312,3,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
143,17600.373,225.825,4.096,3,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
144,17830.294,173.536,-0.16,3,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
145,18003.67,61.824,1.312,3,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
146,18066.806,20.256,1.216,3,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
147,18088.278,3.136,1.12,3,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
148,18092.534,14.912,1.056,3,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
149,18108.502,24.449,0.992,3,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
150,18133.943,3184.585,1.088,3,moe_up,fused_moe,fused_moe_kernel,57848,128,
151,21319.616,154.817,1.152,3,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
152,21475.585,1603.396,1.184,3,moe_down,fused_moe,fused_moe_kernel,33056,128,
153,23080.165,76.737,0.224,3,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
154,23157.126,62.592,4.128,4,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
155,23223.846,518.337,1.184,4,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
156,23743.367,89.281,1.152,4,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
157,23833.8,220.576,53.568,4,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
158,24107.944,1.312,25.889,4,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
159,24135.145,57.856,1.088,4,conv_kernel,conv_fwd,causal_conv1d_fwd_kernel,4,128,
160,24194.089,226.432,4.224,4,conv_c_gate_mul,mul,elementwise_kernel,64000,128,
161,24424.745,175.489,-0.128,4,conv_out_proj,gemm,nvjet_tst_192x192_64x4_1x2_h_bz_coopB_TNN,2,384,
162,24600.106,62.24,1.248,4,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
163,24663.594,20.128,1.312,4,moe_router,gemm,nvjet_tst_32x128_64x10_1x2_h_bz_TNN,2,384,
164,24685.034,3.104,1.088,4,moe_topk,topk_sigmoid,topkGatingSigmoid,500,32,
165,24689.226,14.624,1.088,4,moe_align,moe_align,moe_align_block_size_kernel,2,1024,
166,24704.938,20.448,0.992,4,moe_count_sort,moe_count_sort,count_and_sort_expert_tokens_kernel,250,256,
167,24726.378,3182.474,1.088,4,moe_up,fused_moe,fused_moe_kernel,57848,128,
168,27909.94,156.032,1.248,4,moe_activation,act_and_mul,act_and_mul_kernel,64000,224,
169,28067.22,1600.901,1.248,4,moe_down,fused_moe,fused_moe_kernel,33056,128,
170,29669.369,76.832,-0.128,4,moe_sum,moe_sum,moe_sum_reduce_warp_per_token_vec_kernel,8,256,
171,29746.073,61.953,4.128,5,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,16000,32,
172,29812.154,519.745,1.12,5,conv_in_proj,gemm,nvjet_tst_192x192_64x4_2x1_v_bz_coopB_TNN,2,384,
173,30333.019,88.608,2.112,5,conv_b_gate_mul,mul,elementwise_kernel,64000,128,
174,30423.739,220.929,54.976,5,conv_layout_copy,copy_bf16,elementwise_kernel,64000,128,
175,30699.644,1.248,28.48,5,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
