index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
138,4299.213,1194.436,1.312,kernel,gemm,0,102
139,5494.961,154.4,1.984,kernel,act_and_mul,0,103
140,5651.345,0.8,1.568,memset,memset,4,
141,5653.713,593.954,-0.128,kernel,gemm,0,104
142,6247.539,61.76,1.824,kernel,fused_add_rmsnorm,0,105
143,6311.123,0.8,1.6,memset,memset,4,
144,6313.523,521.41,1.12,kernel,gemm,0,106
145,6836.053,89.216,1.216,kernel,mul,0,107
146,6926.485,220.641,1.152,kernel,copy_bf16,0,108
147,7148.278,1.056,1.856,memcpy,memcpy_kind_8,16,
148,7151.19,0.736,37.344,memcpy,memcpy_kind_1,4,
149,7189.27,1.152,24.32,kernel,copy_int,0,109
150,7214.742,58.72,1.12,kernel,conv_fwd,0,110
151,7274.582,226.977,1.792,kernel,mul,0,111
152,7503.351,0.8,1.568,memset,memset,4,
153,7505.719,174.72,-0.16,kernel,gemm,0,112
154,7680.279,60.896,1.44,kernel,fused_add_rmsnorm,0,113
155,7742.615,0.8,1.568,memset,memset,4,
156,7744.983,1198.5,1.312,kernel,gemm,0,114
157,8944.795,156.192,1.44,kernel,act_and_mul,0,115
158,9102.427,0.8,1.6,memset,memset,4,
159,9104.827,587.618,-0.128,kernel,gemm,0,116
160,9692.317,61.184,1.376,kernel,fused_add_rmsnorm,0,117
161,9754.877,1.216,1.632,memset,memset,4,
162,9757.725,259.905,1.088,kernel,gemm,0,118
163,10018.718,77.216,-0.128,kernel,copy_bf16,0,119
164,10095.806,617.794,2.24,kernel,rmsnorm,0,120
165,10715.84,21.408,-0.128,kernel,copy_bf16,0,121
166,10737.12,155.905,1.216,kernel,rmsnorm,0,122
167,10894.241,55.648,-0.16,kernel,rope,0,123
168,10949.729,16.864,2.144,kernel,store_kv,0,124
169,10968.737,3.456,-0.032,kernel,attention_prepare,0,125
170,10972.161,608.162,1.728,kernel,attention,0,126
171,11582.051,0.8,2.304,memset,memset,4,
172,11585.155,173.856,-0.128,kernel,gemm,0,127
173,11758.883,62.369,2.176,kernel,fused_add_rmsnorm,0,128
174,11823.428,21.024,1.216,kernel,gemm,0,129
175,11845.668,3.104,1.184,kernel,topk_sigmoid,0,130
176,11849.956,14.816,2.048,kernel,moe_align,0,131
177,11866.82,20.992,1.088,kernel,moe_count_sort,0,132
178,11888.9,3177.865,1.312,kernel,fused_moe,0,133
179,15068.077,155.905,1.248,kernel,act_and_mul,0,134
180,15225.23,1598.693,2.08,kernel,fused_moe,0,135
181,16826.003,76.576,0.352,kernel,moe_sum,0,136
182,16902.931,61.888,1.664,kernel,fused_add_rmsnorm,0,137
183,16966.483,0.8,1.6,memset,memset,4,
184,16968.883,522.53,1.248,kernel,gemm,0,138
185,17492.661,89.472,2.112,kernel,mul,0,139
186,17584.245,220.256,2.24,kernel,copy_bf16,0,140
187,17806.741,1.28,1.888,memcpy,memcpy_kind_8,16,
188,17809.909,0.737,61.92,memcpy,memcpy_kind_1,4,
189,17872.566,1.792,31.712,kernel,copy_int,0,141
190,17906.07,57.984,1.312,kernel,conv_fwd,0,142
191,17965.366,225.825,1.728,kernel,mul,0,143
192,18192.919,0.8,1.568,memset,memset,4,
193,18195.287,173.536,-0.16,kernel,gemm,0,144
194,18368.663,61.824,1.312,kernel,fused_add_rmsnorm,0,145
195,18431.799,20.256,1.216,kernel,gemm,0,146
196,18453.271,3.136,1.12,kernel,topk_sigmoid,0,147
197,18457.527,14.912,1.056,kernel,moe_align,0,148
198,18473.495,24.449,0.992,kernel,moe_count_sort,0,149
199,18498.936,3184.585,1.088,kernel,fused_moe,0,150
200,21684.609,154.817,1.152,kernel,act_and_mul,0,151
201,21840.578,1603.396,1.184,kernel,fused_moe,0,152
202,23445.158,76.737,0.224,kernel,moe_sum,0,153
203,23522.119,62.592,1.696,kernel,fused_add_rmsnorm,0,154
204,23586.407,0.8,1.632,memset,memset,4,
205,23588.839,518.337,1.184,kernel,gemm,0,155
206,24108.36,89.281,1.152,kernel,mul,0,156
207,24198.793,220.576,1.344,kernel,copy_bf16,0,157
208,24420.713,1.056,1.888,memcpy,memcpy_kind_8,16,
209,24423.657,0.768,48.512,memcpy,memcpy_kind_1,4,
210,24472.937,1.312,25.889,kernel,copy_int,0,158
211,24500.138,57.856,1.088,kernel,conv_fwd,0,159
212,24559.082,226.432,1.824,kernel,mul,0,160
213,24787.338,0.8,1.6,memset,memset,4,
214,24789.738,175.489,-0.128,kernel,gemm,0,161
215,24965.099,62.24,1.248,kernel,fused_add_rmsnorm,0,162
216,25028.587,20.128,1.312,kernel,gemm,0,163
217,25050.027,3.104,1.088,kernel,topk_sigmoid,0,164
218,25054.219,14.624,1.088,kernel,moe_align,0,165
219,25069.931,20.448,0.992,kernel,moe_count_sort,0,166
220,25091.371,3182.474,1.088,kernel,fused_moe,0,167
221,28274.933,156.032,1.248,kernel,act_and_mul,0,168
222,28432.213,1600.901,1.248,kernel,fused_moe,0,169
223,30034.362,76.832,-0.128,kernel,moe_sum,0,170
224,30111.066,61.953,1.728,kernel,fused_add_rmsnorm,0,171
225,30174.747,0.8,1.6,memset,memset,4,
226,30177.147,519.745,1.12,kernel,gemm,0,172
227,30698.012,88.608,2.112,kernel,mul,0,173
228,30788.732,220.929,2.144,kernel,copy_bf16,0,174
