index,start_us,duration_us,gap_to_next_activity_us,activity,name,bytes,kernel_index
258,38745.717,62.496,2.144,kernel,fused_add_rmsnorm,0,199
259,38810.357,20.128,1.088,kernel,gemm,0,200
260,38831.573,3.168,1.024,kernel,topk_sigmoid,0,201
261,38835.765,14.784,1.824,kernel,moe_align,0,202
262,38852.373,30.88,1.088,kernel,moe_count_sort,0,203
263,38884.341,3187.914,1.12,kernel,fused_moe,0,204
264,42073.375,154.72,1.312,kernel,act_and_mul,0,205
265,42229.407,1604.645,1.92,kernel,fused_moe,0,206
266,43835.972,74.944,-0.128,kernel,moe_sum,0,207
267,43910.788,61.985,1.792,kernel,fused_add_rmsnorm,0,208
268,43974.565,0.8,1.536,memset,memset,4,
269,43976.901,521.537,1.12,kernel,gemm,0,209
270,44499.558,89.44,2.08,kernel,mul,0,210
271,44591.078,221.153,2.08,kernel,copy_bf16,0,211
272,44814.311,0.896,1.824,memcpy,memcpy_kind_8,16,
273,44817.031,0.736,46.816,memcpy,memcpy_kind_1,4,
274,44864.583,1.12,28.352,kernel,copy_int,0,212
275,44894.055,58.081,0.896,kernel,conv_fwd,0,213
276,44953.032,227.68,1.792,kernel,mul,0,214
277,45182.504,0.8,1.568,memset,memset,4,
278,45184.872,175.905,-0.32,kernel,gemm,0,215
279,45360.457,61.92,1.12,kernel,fused_add_rmsnorm,0,216
280,45423.497,20.544,1.216,kernel,gemm,0,217
281,45445.257,3.2,0.928,kernel,topk_sigmoid,0,218
282,45449.385,14.912,0.96,kernel,moe_align,0,219
283,45465.257,21.504,1.024,kernel,moe_count_sort,0,220
284,45487.785,3184.97,1.312,kernel,fused_moe,0,221
285,48674.067,155.808,1.088,kernel,act_and_mul,0,222
286,48830.963,1609.701,1.28,kernel,fused_moe,0,223
287,50441.944,75.84,-0.128,kernel,moe_sum,0,224
288,50517.656,61.824,1.792,kernel,fused_add_rmsnorm,0,225
289,50581.272,0.8,1.6,memset,memset,4,
290,50583.672,520.482,1.056,kernel,gemm,0,226
291,51105.21,89.696,1.088,kernel,mul,0,227
292,51195.994,219.873,1.088,kernel,copy_bf16,0,228
293,51416.955,0.928,1.664,memcpy,memcpy_kind_8,16,
294,51419.547,0.736,41.728,memcpy,memcpy_kind_1,4,
295,51462.011,1.12,25.76,kernel,copy_int,0,229
296,51488.891,58.112,1.056,kernel,conv_fwd,0,230
297,51548.059,226.913,1.76,kernel,mul,0,231
298,51776.732,0.768,1.6,memset,memset,4,
299,51779.1,175.169,-0.16,kernel,gemm,0,232
300,51954.109,62.752,1.216,kernel,fused_add_rmsnorm,0,233
301,52018.077,20.192,1.056,kernel,gemm,0,234
302,52039.325,3.104,0.96,kernel,topk_sigmoid,0,235
303,52043.389,14.912,1.024,kernel,moe_align,0,236
304,52059.325,25.856,0.96,kernel,moe_count_sort,0,237
305,52086.141,3186.666,1.152,kernel,fused_moe,0,238
306,55273.959,156.288,1.312,kernel,act_and_mul,0,239
307,55431.559,1602.469,1.184,kernel,fused_moe,0,240
308,57035.212,76.736,-0.128,kernel,moe_sum,0,241
309,57111.82,61.984,1.664,kernel,fused_add_rmsnorm,0,242
310,57175.468,0.8,1.6,memset,memset,4,
311,57177.868,528.098,1.088,kernel,gemm,0,243
312,57707.054,92.192,1.952,kernel,mul,0,244
313,57801.198,220.545,2.144,kernel,copy_bf16,0,245
314,58023.887,0.96,1.76,memcpy,memcpy_kind_8,16,
315,58026.607,0.736,38.368,memcpy,memcpy_kind_1,4,
316,58065.711,1.248,23.2,kernel,copy_int,0,246
317,58090.159,60.736,1.088,kernel,conv_fwd,0,247
318,58151.983,226.913,1.696,kernel,mul,0,248
