index,start_us,duration_us,gap_to_next_kernel_us,layer,role,kind,short_name,grid_x,block_x,graph_node_id
144,8454.968,19.52,5.312,8,moe_up,fused_moe,fused_moe_kernel,448,128,
145,8479.8,1.216,58.432,8,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
146,8539.448,15.36,89.92,8,moe_down,fused_moe,fused_moe_kernel,256,128,
147,8644.728,0.928,102.113,8,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
148,8747.769,2.336,72.32,9,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
149,8822.425,9.12,20.448,9,conv_in_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
150,8851.993,0.992,24.096,9,conv_b_gate_mul,mul,vectorized_elementwise_kernel,2,128,
151,8877.081,1.056,20.16,9,conv_cache_indices_cast,copy_int,unrolled_elementwise_kernel,1,128,
152,8898.297,2.528,15.872,9,conv_kernel,conv_update,causal_conv1d_update_kernel,1,64,
153,8916.697,0.928,34.752,9,conv_c_gate_mul,mul,vectorized_elementwise_kernel,2,128,
154,8952.377,5.472,20.192,9,conv_out_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
155,8978.041,1.92,30.592,9,ffn_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
156,9010.553,5.056,33.472,9,moe_router,gemm,nvjet_tst_64x8_64x16_1x1_v_bz_TNT,1,384,
157,9049.081,2.016,130.113,9,moe_topk,topk_sigmoid,topkGatingSigmoid,1,32,
158,9181.21,4.384,70.624,9,moe_align,moe_align,moe_align_block_size_small_batch_expert_kernel,1,289,
159,9256.218,19.904,3.808,9,moe_up,fused_moe,fused_moe_kernel,448,128,
160,9279.93,1.216,54.944,9,moe_activation,act_and_mul,act_and_mul_kernel,4,224,
161,9336.09,15.36,81.024,9,moe_down,fused_moe,fused_moe_kernel,256,128,
162,9432.474,0.961,90.4,9,moe_sum,moe_sum,triton_poi_fused_copy__mul_sum_0,16,128,
163,9523.835,2.144,71.744,10,operator_norm,fused_add_rmsnorm,FusedAddRMSNormKernel,1,32,
164,9597.723,5.888,49.664,10,attn_qkv_proj,gemm,nvjet_tst_64x8_64x16_4x1_v_bz_TNT,4,384,
165,9653.275,1.76,23.52,10,attn_q_norm,rmsnorm,RMSNormKernel,32,32,
166,9678.555,1.6,52.352,10,attn_k_norm,rmsnorm,RMSNormKernel,8,32,
167,9732.507,1.632,54.72,10,attn_rope,rope,BatchQKApplyRotaryPosIdsCosSinCacheHeadParallelismKernel,1,8,
168,9788.859,1.216,59.489,10,attn_store_kv,store_kv,store_kvcache,1,128,
169,9849.564,3.04,11.808,10,attn_prepare,attention_prepare,prepare_varlen_num_blocks_kernel,1,32,
170,9864.412,7.328,48.736,10,attn_kernel,attention,device_kernel,132,512,
