model,tokens,M,config_key,BLOCK_SIZE_M,BLOCK_SIZE_N,BLOCK_SIZE_K,GROUP_SIZE_M,num_warps,num_stages,median_ms,p95_ms,std_ms,default_ms,speedup,max_abs_err
lfm25,64,256,bm16_bn64_bk256_gm32_w8_s2,16,64,256,32,8,2,0.20239999890327454,0.20243200659751892,0.00016884386525887517,0.28940799832344055,1.429881422389466,0.0
lfm25,64,256,bm16_bn128_bk128_gm32_w4_s4,16,128,128,32,4,4,0.2024639993906021,0.20262399315834045,9.996966762199511e-05,0.28940799832344055,1.4294294254511015,0.0
lfm25,64,256,bm16_bn64_bk64_gm1_w8_s5,16,64,64,1,8,5,0.2024960070848465,0.20262399315834045,9.362260431568306e-05,0.28940799832344055,1.4292034815391577,0.0
lfm25,64,256,bm16_bn32_bk64_gm1_w4_s5,16,32,64,1,4,5,0.20265600085258484,0.20316800475120544,0.0002604434544818672,0.28940799832344055,1.428075147569701,0.0
lfm25,64,256,bm16_bn64_bk128_gm32_w8_s2,16,64,128,32,8,2,0.2027519941329956,0.20297600328922272,0.00011449005121827677,0.28940799832344055,1.4273990229344071,0.0
lfm25,64,256,bm16_bn64_bk128_gm16_w8_s2,16,64,128,16,8,2,0.20281599462032318,0.20294399559497833,0.00010709240837442328,0.28940799832344055,1.4269485937991224,0.0
lfm25,64,256,bm32_bn128_bk64_gm32_w4_s3,32,128,64,32,4,3,0.20291200280189514,0.2030400037765503,7.408566293692434e-05,0.28940799832344055,1.4262734304879552,0.0
lfm25,64,256,bm16_bn64_bk128_gm1_w8_s4,16,64,128,1,8,4,0.20297600328922272,0.20313599705696106,0.00012639159000697115,0.28940799832344055,1.4258237113431578,0.0
lfm25,64,256,bm32_bn128_bk64_gm1_w4_s3,32,128,64,1,4,3,0.20313599705696106,0.20339199900627136,0.00021513977645702922,0.28940799832344055,1.4247007055194068,0.0
lfm25,64,256,bm16_bn128_bk64_gm1_w4_s2,16,128,64,1,4,2,0.20339199900627136,0.2035519927740097,8.344414060519278e-05,0.28940799832344055,1.4229074876958017,0.0
lfm25,64,256,bm16_bn32_bk64_gm16_w4_s5,16,32,64,16,4,5,0.20339199900627136,0.20364800095558167,0.0001465040721789126,0.28940799832344055,1.4229074876958017,0.0
lfm25,64,256,bm16_bn64_bk256_gm1_w8_s3,16,64,256,1,8,3,0.20345599949359894,0.20377600193023682,0.00013666764227293277,0.28940799832344055,1.4224598883482216,0.0
lfm25,64,256,bm16_bn64_bk64_gm16_w8_s5,16,64,64,16,8,5,0.20345599949359894,0.2035840004682541,5.9349360802830596e-05,0.28940799832344055,1.4224598883482216,0.0
lfm25,64,256,bm32_bn128_bk128_gm32_w4_s3,32,128,128,32,4,3,0.20348800718784332,0.20377600193023682,0.0001951723231663424,0.28940799832344055,1.4222361421834702,0.0
lfm25,64,256,bm32_bn128_bk128_gm1_w4_s3,32,128,128,1,4,3,0.2035519927740097,0.20371200144290924,0.00010319491271286052,0.28940799832344055,1.4217890691188226,0.0
lfm25,64,256,bm32_bn128_bk64_gm16_w4_s3,32,128,64,16,4,3,0.2035840004682541,0.20377600193023682,0.00021129629968991061,0.28940799832344055,1.4215655339210678,0.0
lfm25,64,256,bm32_bn128_bk128_gm16_w4_s3,32,128,128,16,4,3,0.20361599326133728,0.20403200387954712,0.000221148719021974,0.28940799832344055,1.4213421730187512,0.0
lfm25,64,256,bm16_bn128_bk256_gm16_w8_s2,16,128,256,16,8,2,0.20364800095558167,0.20399999618530273,0.00017053066516572256,0.28940799832344055,1.4211187783108379,0.0
lfm25,64,256,bm16_bn64_bk128_gm16_w8_s4,16,64,128,16,8,4,0.20364800095558167,0.20380799472332,0.0001024005935028046,0.28940799832344055,1.4211187783108379,0.0
lfm25,64,256,bm16_bn32_bk256_gm16_w4_s4,16,32,256,16,4,4,0.20364800095558167,0.20377600193023682,0.00011870370268684229,0.28940799832344055,1.4211187783108379,0.0
lfm25,64,256,bm16_bn128_bk64_gm32_w4_s2,16,128,64,32,4,2,0.20367999374866486,0.2038400024175644,7.184222741991788e-05,0.28940799832344055,1.420895557766766,0.0
lfm25,64,256,bm16_bn128_bk256_gm1_w8_s2,16,128,256,1,8,2,0.20367999374866486,0.20377600193023682,0.00022807766222736263,0.28940799832344055,1.420895557766766,0.0
lfm25,64,256,bm16_bn128_bk256_gm32_w8_s2,16,128,256,32,8,2,0.20367999374866486,0.2038400024175644,8.821966486082307e-05,0.28940799832344055,1.420895557766766,0.0
