model,workload,config_id,hash,cls
lfm25,R_medium_balanced,9,cap8_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,10,cap8_chunk2048_pollpm_mem0.85,FLAT
lfm25,R_medium_balanced,11,cap8_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,12,cap8_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,13,cap8_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,14,cap8_chunk2048_polfcfs_mem0.85,FLAT
lfm25,R_medium_balanced,15,cap8_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,16,cap8_chunk8192_pollpm_mem0.75,FLAT
lfm25,R_medium_balanced,17,cap8_chunk8192_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,18,cap8_chunk8192_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,19,cap8_chunk8192_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,20,cap8_chunk8192_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,21,cap8_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,22,cap8_chunk8192_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,23,cap8_chunk8192_polfcfs_mem0.9,FLAT
lfm25,R_medium_balanced,24,cap16_chunk-1_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,25,cap16_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,26,cap16_chunk-1_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,27,cap16_chunk-1_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,28,cap16_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_medium_balanced,29,cap16_chunk-1_polfcfs_mem0.8,FLAT
lfm25,R_medium_balanced,30,cap16_chunk-1_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,31,cap16_chunk-1_polfcfs_mem0.9,FLAT
lfm25,R_medium_balanced,32,cap16_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,33,cap16_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,34,cap16_chunk2048_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,35,cap16_chunk2048_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,36,cap16_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,37,cap16_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,38,cap16_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,39,cap16_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,40,cap16_chunk8192_pollpm_mem0.75,WIN
lfm25,R_medium_balanced,41,cap16_chunk8192_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,42,cap16_chunk8192_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,43,cap16_chunk8192_pollpm_mem0.9,FLAT
lfm25,R_medium_balanced,44,cap16_chunk8192_polfcfs_mem0.75,FLAT
lfm25,R_medium_balanced,45,cap16_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,46,cap16_chunk8192_polfcfs_mem0.85,FLAT
lfm25,R_medium_balanced,47,cap16_chunk8192_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,48,cap24_chunk-1_pollpm_mem0.75,WIN
lfm25,R_medium_balanced,49,cap24_chunk-1_pollpm_mem0.8,FLAT
lfm25,R_medium_balanced,50,cap24_chunk-1_pollpm_mem0.85,FLAT
lfm25,R_medium_balanced,51,cap24_chunk-1_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,52,cap24_chunk-1_polfcfs_mem0.75,FLAT
lfm25,R_medium_balanced,53,cap24_chunk-1_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,54,cap24_chunk-1_polfcfs_mem0.85,WIN
lfm25,R_medium_balanced,55,cap24_chunk-1_polfcfs_mem0.9,WIN
lfm25,R_medium_balanced,56,cap24_chunk2048_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,57,cap24_chunk2048_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,58,cap24_chunk2048_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,59,cap24_chunk2048_pollpm_mem0.9,FLAT
lfm25,R_medium_balanced,60,cap24_chunk2048_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,61,cap24_chunk2048_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,62,cap24_chunk2048_polfcfs_mem0.85,REGRESSION
lfm25,R_medium_balanced,63,cap24_chunk2048_polfcfs_mem0.9,REGRESSION
lfm25,R_medium_balanced,64,cap24_chunk8192_pollpm_mem0.75,FLAT
lfm25,R_medium_balanced,65,cap24_chunk8192_pollpm_mem0.8,WIN
lfm25,R_medium_balanced,66,cap24_chunk8192_pollpm_mem0.85,REGRESSION
lfm25,R_medium_balanced,67,cap24_chunk8192_pollpm_mem0.9,FLAT
lfm25,R_medium_balanced,68,cap24_chunk8192_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,69,cap24_chunk8192_polfcfs_mem0.8,REGRESSION
lfm25,R_medium_balanced,70,cap24_chunk8192_polfcfs_mem0.85,FLAT
lfm25,R_medium_balanced,71,cap24_chunk8192_polfcfs_mem0.9,FLAT
lfm25,R_medium_balanced,72,cap32_chunk-1_pollpm_mem0.75,REGRESSION
lfm25,R_medium_balanced,73,cap32_chunk-1_pollpm_mem0.8,REGRESSION
lfm25,R_medium_balanced,74,cap32_chunk-1_pollpm_mem0.85,FLAT
lfm25,R_medium_balanced,75,cap32_chunk-1_pollpm_mem0.9,REGRESSION
lfm25,R_medium_balanced,76,cap32_chunk-1_polfcfs_mem0.75,REGRESSION
lfm25,R_medium_balanced,77,cap32_chunk-1_polfcfs_mem0.8,WIN
lfm25,R_medium_balanced,78,cap32_chunk-1_polfcfs_mem0.85,FLAT
lfm25,R_medium_balanced,79,cap32_chunk-1_polfcfs_mem0.9,FLAT
